tokenizer,family,language,token_parity,token_parity_gm,fertility,per_lang_compression,renyi
magnet,Reproduced baselines,aar_Latn,0.9933625921109667,0.8358212964912554,2.1495485988978777,3.2382183322096725,0.5718590071018291
magnet,Reproduced baselines,abl_Latn,1.143232553099263,0.9619227886283166,2.1530102040816326,3.157050352338778,0.5299070860885919
magnet,Reproduced baselines,afr_Latn,1.0536681837884698,0.8865627862774264,1.6974947625698324,3.354283394243926,0.5903568066720083
magnet,Reproduced baselines,agr_Latn,1.0902416558300823,0.9173359269833252,2.550253485424588,3.1994405089161004,0.5164811575577524
magnet,Reproduced baselines,aiq_Arab,2.106577806675336,1.7724873148216935,3.3784323948557526,2.3610360716843903,0.4353643763153363
magnet,Reproduced baselines,als_Latn,1.1639846120502817,0.979383696614034,1.8321961620469083,3.385330544839718,0.5809763745856541
magnet,Reproduced baselines,ami_Latn,1.0719549198092762,0.9019493566303759,1.7357431128268117,3.47406651459423,0.5403722851653655
magnet,Reproduced baselines,ane_Latn,1.3287548764629387,1.1180223942238687,1.494150977883385,3.6917842792965523,0.472828605289471
magnet,Reproduced baselines,apc_Arab,2.0143313827481575,1.6948706154857036,4.643579815138646,2.402121225699231,0.4585373387007666
magnet,Reproduced baselines,arh_Latn,0.8963480710879931,0.7541926914039784,1.9565937315198108,3.581663578822513,0.5759239156433023
magnet,Reproduced baselines,arn_Latn,1.1453185955786735,0.9636779973945049,2.232337100010561,3.210573445373725,0.5909221478282605
magnet,Reproduced baselines,arz_Arab,2.005662115301257,1.6875762413924538,4.376507448569401,2.3214583623860436,0.44386564734607953
magnet,Reproduced baselines,arz_Latn,0.9659189423493714,0.8127300435023104,2.0886936145284123,3.2751700061127873,0.5742177162444932
magnet,Reproduced baselines,asm_Beng,2.810874512353706,2.36508682514114,5.436183590066017,2.9230252766878704,0.45017572390115773
magnet,Reproduced baselines,ayr_Latn,1.151522540095362,0.968898033854987,2.873901284651792,3.1737893801013133,0.5435630604195518
magnet,Reproduced baselines,ayz_Latn,0.7540637191157347,0.6344737765985109,1.362541609555512,3.603157103571317,0.6091831958757017
magnet,Reproduced baselines,azb_Arab,2.499403987863025,2.1030136409220885,5.265867579908676,2.3358306540511227,0.4108109476895064
